City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,dwarka,22.2394,68.9678,25.46,43,51,5.0,IN,2023-11-13
78,kas,36.2018,29.6377,18.17,74,0,1.67,TR,2023-11-13
79,kazanskoye,55.6448,69.235,3.58,81,100,6.94,RU,2023-11-13
80,san patricio,28.017,-97.5169,17.69,89,100,5.56,US,2023-11-13
81,thompson,55.7435,-97.8558,-1.91,93,75,1.03,CA,2023-11-13
82,ponta delgada,37.7333,-25.6667,17.4,94,40,5.14,PT,2023-11-13
83,olonkinbyen,70.9221,-8.7187,-1.55,71,98,3.02,SJ,2023-11-13
84,podgorenskiy,50.405,39.6429,5.38,81,100,2.85,RU,2023-11-13
85,port lincoln,-34.7333,135.8667,16.96,69,64,4.91,AU,2023-11-13
86,atafu village,-8.5421,-172.5159,27.04,85,100,6.79,TK,2023-11-13
87,puerto penasco,31.3167,-113.5333,21.62,61,100,0.45,MX,2023-11-13
88,touros,-5.1989,-35.4608,26.59,80,90,5.0,BR,2023-11-13
89,port alfred,-33.5906,26.891,16.48,67,94,5.23,ZA,2023-11-13
90,pella,59.7775,30.8181,0.97,97,100,2.67,RU,2023-11-13
91,cabo san lucas,22.8909,-109.9124,28.2,64,20,3.09,MX,2023-11-13
92,devonport,-41.1667,146.35,19.73,58,59,1.34,AU,2023-11-13
93,visconde do rio branco,-21.0103,-42.8406,24.16,80,29,1.19,BR,2023-11-13
94,chui,-33.6971,-53.4616,15.94,91,100,4.29,UY,2023-11-13
95,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,2023-11-13
96,wynyard,-41.0,145.7167,19.28,38,78,2.77,AU,2023-11-13
97,murun-kuren,49.6342,100.1625,-6.45,72,100,1.15,MN,2023-11-13
98,kandyagash,49.4744,57.4233,3.96,76,100,7.66,KZ,2023-11-13
99,lobujya,27.95,86.8167,-7.03,27,46,0.76,NP,2023-11-13
100,kurchatov,51.6601,35.6521,3.23,91,40,5.06,RU,2023-11-13
101,tete,-16.1564,33.5867,25.08,61,75,2.68,MZ,2023-11-13
102,puerto baquerizo moreno,-0.9,-89.6,23.65,83,100,4.56,EC,2023-11-13
103,fort mcmurray,56.7268,-111.381,-2.23,93,100,2.57,CA,2023-11-13
104,avarua,-21.2078,-159.775,23.03,64,40,3.09,CK,2023-11-13
105,keflavik,64.0049,-22.5624,8.24,61,0,8.75,IS,2023-11-13
106,gao,16.6362,1.637,23.09,16,0,5.3,ML,2023-11-13
107,lihue,21.9789,-159.3672,28.58,74,75,7.72,US,2023-11-13
108,lycksele,64.5954,18.6735,-15.07,85,100,0.51,SE,2023-11-13
109,egilsstadir,65.2653,-14.3948,1.95,93,75,1.54,IS,2023-11-13
110,papatowai,-46.5619,169.4708,17.77,47,70,5.72,NZ,2023-11-13
111,duekoue,6.7472,-7.3496,22.34,95,41,0.35,CI,2023-11-13
112,udachny,66.4167,112.4,-5.86,85,100,3.76,RU,2023-11-13
113,akom ii,2.7833,10.5667,20.85,97,73,0.78,CM,2023-11-13
114,noosa heads,-26.3833,153.15,30.19,62,0,6.21,AU,2023-11-13
115,three points,32.0767,-111.3137,25.09,23,0,4.12,US,2023-11-13
116,yuzhno-kurilsk,44.0306,145.8556,2.43,80,54,10.02,RU,2023-11-13
117,smithers,54.7804,-127.1743,1.18,86,75,1.03,CA,2023-11-13
118,lazaro cardenas,17.9583,-102.2,27.1,79,52,2.5,MX,2023-11-13
119,aasiaat,68.7098,-52.8699,-10.59,82,100,1.48,GL,2023-11-13
120,elena,42.9333,25.8833,-0.38,60,31,1.81,BG,2023-11-13
121,utrik,11.2278,169.8474,28.17,81,100,7.94,MH,2023-11-13
122,kudymkar,59.0173,54.656,3.06,97,100,5.07,RU,2023-11-13
123,monterey,36.2505,-121.2516,15.65,1,52,2.82,US,2023-11-13
124,georgetown,5.4112,100.3354,29.41,81,20,0.0,MY,2023-11-13
125,pechory,57.8164,27.6119,0.7,98,100,2.75,RU,2023-11-13
126,howrah,22.5892,88.3103,22.0,83,20,2.06,IN,2023-11-13
127,lethem,3.3803,-59.7968,29.41,45,84,3.44,GY,2023-11-13
128,quellon,-43.1167,-73.6167,4.5,80,92,3.55,CL,2023-11-13
129,gebeit,21.0667,36.3167,24.55,70,100,1.77,SD,2023-11-13
130,hilo,19.7297,-155.09,27.85,67,20,2.57,US,2023-11-13
131,hermanus,-34.4187,19.2345,15.42,77,16,8.98,ZA,2023-11-13
132,grand-bassam,5.2118,-3.7388,25.98,87,0,2.13,CI,2023-11-13
133,iskateley,67.6803,53.1512,-11.1,88,100,4.02,RU,2023-11-13
134,ust-nera,64.5667,143.2,-27.86,97,56,2.37,RU,2023-11-13
135,goyerkata,26.6998,89.0257,21.65,57,5,0.89,IN,2023-11-13
136,badger,64.8,-147.5333,-3.07,92,100,0.0,US,2023-11-13
137,port douglas,-16.4833,145.4667,26.49,57,38,4.53,AU,2023-11-13
138,den burg,53.0542,4.7972,13.31,79,75,14.4,NL,2023-11-13
139,flying fish cove,-10.4217,105.6791,26.82,78,100,4.63,CX,2023-11-13
140,tralee,52.2704,-9.7026,11.05,88,100,6.25,IE,2023-11-13
141,geraldton,-28.7667,114.6,25.23,65,75,4.12,AU,2023-11-13
142,port isabel,26.0734,-97.2086,18.02,91,100,8.23,US,2023-11-13
143,jiaojiang,28.6803,121.4428,11.11,56,17,1.67,CN,2023-11-13
144,wailua homesteads,22.0669,-159.378,28.24,79,75,7.72,US,2023-11-13
145,usinsk,65.9939,57.5281,-9.4,87,100,3.13,RU,2023-11-13
146,murehwa,-17.6432,31.784,16.28,69,11,1.15,ZW,2023-11-13
147,beryslav,46.8415,33.4284,6.23,72,9,1.48,UA,2023-11-13
148,hammerfest,70.6634,23.6821,-1.75,93,100,0.0,NO,2023-11-13
149,coari,-4.085,-63.1414,27.78,64,95,0.4,BR,2023-11-13
150,ramban,33.25,75.25,9.23,48,0,3.91,IN,2023-11-13
151,arkalyk,50.2486,66.9114,2.44,80,100,4.25,KZ,2023-11-13
152,manokwari,-0.8667,134.0833,29.18,72,86,3.28,ID,2023-11-13
153,kruisfontein,-34.0033,24.7314,11.96,90,59,2.79,ZA,2023-11-13
154,mejit,10.2753,170.8646,27.74,80,96,7.76,MH,2023-11-13
155,haiku-pauwela,20.9219,-156.3051,27.01,65,20,7.2,US,2023-11-13
156,invercargill,-46.4,168.35,13.9,83,84,8.49,NZ,2023-11-13
157,college,64.8569,-147.8028,-3.03,91,100,0.0,US,2023-11-13
158,kerikeri,-35.2268,173.9474,18.32,55,100,4.83,NZ,2023-11-13
159,talnakh,69.4865,88.3972,-19.44,98,50,3.89,RU,2023-11-13
160,lionel town,17.8101,-77.2406,29.94,83,6,3.9,JM,2023-11-13
161,hovd,48.0056,91.6419,-4.7,82,100,1.32,MN,2023-11-13
162,canutama,-6.5339,-64.3831,27.57,66,57,0.77,BR,2023-11-13
163,cannonvale,-20.2833,148.7,27.66,53,0,4.56,AU,2023-11-13
164,usogorsk,63.4106,48.6872,-0.74,94,100,3.03,RU,2023-11-13
165,miyako,39.6367,141.9525,7.97,69,94,2.35,JP,2023-11-13
166,gordonvale,-17.0936,145.7842,32.17,55,63,3.22,AU,2023-11-13
167,qashyr,53.0675,76.1036,2.14,91,100,3.21,KZ,2023-11-13
168,jingmen,31.0336,112.2047,9.91,47,0,2.35,CN,2023-11-13
169,talcahuano,-36.7167,-73.1167,11.82,66,0,5.14,CL,2023-11-13
170,aluksne,57.4167,27.05,0.99,98,100,2.31,LV,2023-11-13
171,kapuskasing,49.4169,-82.4331,1.05,93,100,4.63,CA,2023-11-13
172,caleta de carquin,-11.0925,-77.6267,19.8,86,13,4.8,PE,2023-11-13
173,paradip garh,20.3167,86.6167,23.55,68,85,4.88,IN,2023-11-13
